"CODESTAB","DESCESTAB"
"2245299","UNIDADE BASICA DE SAUDE"
"2245396","UNIDADE DE ESF CENTRO TAPERA"
"2245728","SECRETARIA DE SAUDE TAPEJARA"
"2245760","CENTRO DE SAUDE DAVID CANABARRO"
"2246007","PSF JOSE ALEXANDRE ZACHIA PASSO FUNDO"
"2246368","POSTO DE SAUDE COXILHA"
"2246619","SECRETARIA MUNICIPAL DE SAUDE"
"2246732","HOSPITAL SAO ROQUE CACIQUE DOBLE"
"2246740","HOSPITAL SANTO ANTONIO"
"2246767","HOSPITAL SAO JOAO SANANDUVA"
"2246783","HOSPITAL ROQUE GONZALEZ TAPERA"
"2246791","HOSPITAL SAO JOSE"
"2246805","HOSPITAL SAO JOSE SERTAO"
"2246813","HOSPITAL NOTRE DAME SAO SEBASTIAO"
"2246821","HOSPITAL SANTA TEREZINHA CIRIACO"
"2246848","HOSPITAL MUNICIPAL SAO JOAO BATISTA LAGOAO"
"2246856","HOSPITAL SAO VALENTIM BARRACAO"
"2246864","HOSPITAL DE IBIACA"
"2246872","HOSPITAL SANTA LUCIA CASCA"
"2246902","HOSPITAL NOTRE DAME JULIA BILLIART"
"2246910","HOSPITAL ALTO JACUI NAO ME TOQUE"
"2246929","HOSPITAL DA CIDADE PASSO FUNDO"
"2246937","HOSPITAL SAO JOSE DAVID CANABARRO"
"2246945","HOSPITAL CRISTO REDENTOR FILIAL"
"2246953","HOSPITAL CRISTO REDENTOR MARAU"
"2246961","HOSPITAL FREI CLEMENTE SOLEDADE"
"2246988","HOSPITAL SAO VICENTE DE PAULO"
"2246996","HOSPITAL MUNICIPAL PASSO FUNDO"
"2247011","FHOESFA MACHADINHO"
"2247038","HOSPITAL SAO JOSE MAXIMILIANO DE ALMEIDA"
"2247046","HOSPITAL SANTA TEREZINHA PAIM FILHO"
"2247062","HOSPITAL PRONTO CLINICA  LAGOA VERMELHA"
"2247151","UNIDADE MUNICIPAL DE SAUDE"
"2247631","CENTRO MUNICIPAL DE ATENDIMENTO ESPECIALIZADO CEMAE"
"2247755","PRONTO SOCORRO MUNICIPAL DR RUI BARBOSA"
"2248190","HOSPITAL GERAL SANTA CASA DE URUGUAIANA"
"2248204","SANTA CASA DE SAO GABRIEL"
"2248212","CASA DE SAUDE"
"2248220","SANTA CASA DE MISERICORDIA"
"2248239","HOSPITAL AUXILIADORA"
"2248247","FUNDACAO HOSPITALAR DE CARIDADE DE QUARAI"
"2248271","HOSPITAL SAO PATRICIO DE ITAQUI"
"2248298","HOSPITAL INFANTIL"
"2248328","SANTA CASA DE ALEGRETE"
"2248751","CENTRO MUNICIPAL DE SAUDE DE ERVAL GRANDE"
"2248824","POSTO DE SAUDE DE BALISA GAURAMA"
"2249251","CENTRO DE SAUDE DE GETULIO VARGAS"
"2249472","HOSPITAL DE CARIDADE DE ERECHIM"
"2249499","HOSPITAL SAO ROQUE SEVERIANO DE ALMEIDA"
"2249502","ACHA ARATIBA"
"2249510","HOSPITAL SAO ROQUE DE GETULIO VARGAS"
"2249529","HOSPITAL MUNICIPAL DE CAMPINAS DO SUL"
"2249537","HOSPITAL N S DA POMPEIA VIADUTOS"
"2249545","HOSPITAL SANTA ISABEL GAURAMA"
"2249553","HOSPITAL COMUNITARIO ADECOMAR MARIANO MORO"
"2249561","HOSPITAL JACUTINGA"
"2249588","HOSPITAL SAO LEONARDO"
"2249596","HOSPITAL COMUNITARIO MARCELINO RAMOS"
"2249618","HOSPITAL CLINICAS DOUTOR SILVEIRA DE MARCELINO RAMOS"
"2249626","HOSPITAL SANTO ANTONIO ESTACAO"
"2249634","HOSPITAL SAO ROQUE ERVAL GRANDE"
"2249642","HOSPITAL SAO VICENTE DE PAULO BARAO DE COTEGIPE"
"2249650","UNIDADE MISTA HOSPITALAR SAO ROQUE"
"2250373","UNIDADE CENTRAL DE SAUDE"
"2250675","HOSPITAL SANTO AFONSO"
"2250683","HOSPITAL CRISTO REI"
"2250705","HOSPITAL DE CARIDADE BOA VISTA"
"2250713","HOSPITAL DE CARIDADE SAO PAULO SAO PAULO DAS MISSOES"
"2250721","HOSPITAL TUPARENDI"
"2250748","HOSPITAL SANTO ANTONIO TRES DE MAIO RS"
"2250764","HOSPITAL MUNICIPAL SAO SEBASTIAO"
"2250772","HOSPITAL OSWALDO CRUZ"
"2250780","HOSPITAL MUNICIPAL DRMAURICIO CARDOSO"
"2250799","HOSPITAL DR. OSWALDO TEIXEIRA LTDA"
"2250802","HOSPITAL CAMPINA"
"2250810","HOSPITAL SAO JOSE PORTO LUCENA RS"
"2250829","HOSPITAL DE CARIDADE DE SANTO CRISTO"
"2250837","HOSPITAL SAO VICENTE DE PAULO"
"2250934","UNIDADE SANITARIA DE BOM RETIRO DO SUL"
"2250969","UNIDADE SANITARIA DE BARROS CASSAL"
"2251159","UNIDADE SANITARIA DE FAZENDA VILANOVA"
"2251418","UNIDADE SANITARIA DE ARROIO DO MEIO"
"2251531","UNIDADE SANITARIA DE ENCANTADO"
"2252007","HOSPITAL MARQUES DE SOUZA"
"2252023","HOSPITAL DE CARIDADE SANTANA BOM RETIRO DO SUL"
"2252031","HOSPITAL NOSSA SENHORA DE FATIMA"
"2252058","HOSP DR ANUAR ELIAS AESSE BOQUEIRAO DO LEAO"
"2252066","HOSPITAL SAO JOSE SERIO"
"2252074","HOSPITAL SAO GABRIEL ARCANJO"
"2252082","HOSPITAL SANTA ISABEL PROGRESSO"
"2252112","HOSPITAL SAO JOAO BATISTA NOVA BRESCIA"
"2252120","HOSPITAL SANTA TEREZINHA"
"2252139","HOSPITAL BENEFICENTE LEONILDA BRUNET"
"2252147","SOCIEDADE BENEFICENTE ROQUE GONZALES"
"2252155","HOSPITAL BENEFICENTE PADRE CATELLI"
"2252163","HOSPITAL SAO JOAO DE ARVOREZINHA"
"2252171","HOSPITAL DOUTOR OSCAR BENEVOLO"
"2252198","HOSPITAL SAO JOSE ARROIO DO MEIO"
"2252201","HOSPITAL SAO FRANCISCO"
"2252228","HOSPITAL SANTA TERESINHA ENCANTADO"
"2252244","HOSPITAL OURO BRANCO"
"2252252","HOSPITAL SAO JOSE TAQUARI"
"2252260","HOSPITAL ESTRELA"
"2252287","HOSPITAL BRUNO BORN"
"2252295","SOCIEDADE PORTUGUESA DE BENEFICENCIA"
"2252341","HOSPITAL MIGUEL PILTCHER"
"2252376","HOSPITAL ESPIRITA DE PELOTAS"
"2252694","HOSPITAL ESCOLA"
"2253003","UBS SANTA SILVANA"
"2253046","HOSPITAL UNIVERSITARIO SAO FRANCISCO DE PAULA"
"2253054","SANTA CASA DE MISERICORDIA DE PELOTAS"
"2253224","UBS NAVEGANTES"
"2253666","PRONTO SOCORRO DE PELOTAS"
"2254344","VIGILANCIA SANITARIA"
"2254611","HOSPITAL VIDA SAUDE"
"2254956","HOSPITAL PANAMBI"
"2254964","HOSPITAL SANTA CRUZ"
"2255103","CASA DE SAUDE IGNES IRENE MORAES"
"2255154","PSF GLORIA IMIGRANTE"
"2255928","HOSPITAL MONTE ALVERNE"
"2255936","HOSPITAL ANA NERY"
"2257270","UNIDADE DE SAUDE CENTRAL PSF 3"
"2257467","HOSPITAL DR OSWALDO DIESEL"
"2257548","HOSPITAL NOSSA SENHORA APARECIDA DE CAMAQUA"
"2257556","HOSPITAL MONTENEGRO"
"2257564","FUNDACAO HOSPITALAR DE ROLANTE"
"2257572","HOSPITAL NOSSA SENHORA DO CARMO"
"2257645","HOSPITAL SAO PEDRO"
"2257661","POSTO DE SAUDE 24HS ARROIO DO SAL"
"2257696","POLICLINICA E PA 24H IMBE"
"2257726","CENTRO DE ATEND P ENFRENTAMENTO A COVID 19"
"2257785","CENTRO INTEGRADO DE SAUDE EVA DIAS MELLO"
"2257807","HOSPITAL CARIDADE ERVAL SECO"
"2257815","HOSPITAL SAO VICENTE DE PAULO"
"2257890","UNIMED MISSOES"
"2259826","HOSPITAL SANTA ISABEL"
"2259850","HOSPITAL ROQUE GONZALES CAIBATE"
"2259869","HOSPITAL POLICLINICA SANTO INACIO"
"2259877","HOSPITAL SAO MIGUEL ARCANJO"
"2259893","HOSPITAL SAO LUIZ GONZAGA"
"2259907","HOSPITAL SANTO ANGELO"
"2259915","HOSPITAL MILITAR DE SANTO ANGELO"
"2259931","HOSPITAL SANTA TERESA GUARANI DAS MISSOES"
"2259958","HOSPITAL SANTO ANTONIO  SANTO ANTONIO MISSOES"
"2259974","HOSPITAL SANTO ANTONIO ROQUE GONZALES"
"2259982","HOSPITAL DE PORTO XAVIER"
"2259990","CENTRO MUNICIPAL DE SAUDE DE SERAFINA CORREA"
"2260050","HOSPITAL N SR DO ROSARIO"
"2260069","HOSPITAL SAO JOSE"
"2260093","CENTRO DE ATENCAO PSICOSSOCIAL I"
"2260204","POSTO CENTRAL SECRETARIA MUNICIPAL DA SAUDE IJUI"
"2260263","SECRETARIA MUNICIPAL DA SAUDE"
"2260328","AMBULATORIO CENTRAL"
"2260476","CENTRO MUNICIPAL DE SAUDE CATUIPE"
"2261030","HOSPITAL BOM PASTOR IJUI"
"2261057","HOSPITAL DE CARIDADE DE IJUI"
"2261065","HOSPITAL BOM PASTOR"
"2261073","HOSPITAL NOSSA SENHORA APARECIDA"
"2261081","HOSPITAL SAO FRANCISCO"
"2261103","HOSPITAL DE CHIAPETTA"
"2261111","HOSPITAL DE CONDOR"
"2261138","HOSPITAL PEJUCARA"
"2261154","HOSPICAMPO"
"2261243","CENTRO DE ATENCAO INTEGRAL A SAUDE CAIS"
"2261413","CENTRO DE SAUDE CAMILO GOMES"
"2261669","POLICLINICA MUNICIPAL DE PEDRAS ALTAS"
"2261820","HOSPITAL BENEFICIENTE DE CANDIOTA"
"2261987","SANTA CASA DE CARIDADE DE BAGE"
"2261995","HOSPITAL UNIVERSITARIO URCAMP"
"2262002","HOSPITAL SAO LUIZ"
"2262010","HOSPITAL DA COLONIA NOVA"
"2262029","FUNDACAO MEDICO HOSPITALAR"
"2262274","HOSPITAL COMUNITARIO DE CARAZINHO"
"2262568","HOSPITAL SAO LUCAS DA PUCRS"
"2262959","POSTO DE SAUDE DE FORTALEZA DOS VALOS"
"2263068","UNIDADE BASICA DE SAUDE DE QUINZE DE NOVEMBRO"
"2263092","POSTO DE SAUDE CENTRAL DE SANTA BARBARA DO SUL"
"2263297","POSTO DE SAUDE DO SALTO DO JACUI"
"2263432","POSTO DE SAUDE CENTRAL DE SALDANHA MARINHO"
"2263610","CENTRAL DE ESPECIALIDADES SUS"
"2263769","UNIDADE DE SAUDE DR GILBERTO WIESEL"
"2263823","HOSPITAL SANTA LUCIA LTDA"
"2263831","ASSOCIACAO HOSPITALAR 15 DE NOVEMBRO"
"2263858","HOSPITAL DE CARIDADE SAO VICENTE DE PAULO"
"2263866","HOSPITAL MUNICIPAL BOM PASTOR"
"2263874","HOSPITAL MUNICIPAL SALDANHA MARINHO"
"2263882","HOSPITAL MUNICIPAL DR ADERBAL SCHNEIDER"
"2263890","HOSPITAL SANTA BARBARA BENEFICENTE"
"2264188","CENTRO DE ESPECIALIDADES DE SAUDE BOM JESUS"
"2264420","ESF CIDADE DE DEUS"
"2264579","UNIDADE BASICA DE SAUDE MONTE CRISTO"
"2264587","UNIDADE BASICA DE SAUDE RESTINGA"
"2264811","UNIDADE BASICA DE SAUDE VILA IPIRANGA"
"2264862","UNIDADE BASICA DE SAUDE RUBEM BERTA"
"2264870","UNIDADE DE SAUDE CHACARA DA FUMACA"
"2264897","UNIDADE DE SAUDE WENCESLAU FONTOURA"
"2265036","UNIDADE BASICA DE SAUDE VILA CRUZEIRO"
"2265052","HOSPITAL FEMINA SA"
"2265060","HOSPITAL CRISTO REDENTOR SA"
"2265117","UNIDADE PEQUENA CASA DA CRIANCA"
"2265168","UNIDADE HOSPITAL CONCEICAO"
"2265184","UNIDADE DIVINA PROVIDENCIA"
"2265273","HOSPITAL MUNICIPAL DE SAO DOMINGOS DO SUL"
"2265885","HOSPITAL AJURICABA"
"2265893","HOSPITAL ADESCO"
"2265958","HOSPITAL DE BUTIA"
"2266148","PRONTO ATENDIMENTO MUNICIPAL CAPAO DO LEAO"
"2266199","UNIDADE SANITARIA 01 EX INAMPS"
"2266326","SECRETARIA MUNICIPAL DA SAUDE DE CACHOEIRA DO SUL"
"2266407","PLANTAO 24 HORAS"
"2266474","HOSPITAL DE CARIDADE E BENEFICENCIA"
"2266687","C S MUN CONCEICAO DE JACAREI LIDIA DA COSTA FERNANDES"
"2266717","C S MUN DE ITACURUCA OSMAR MATHIAS DOS SANTOS"
"2266733","HOSPITAL MUNICIPAL CONDE MODESTO LEAL"
"2267187","HOSPITAL FLAVIO LEAL"
"2267209","HOSPITAL MUNICIPAL MARIANA MARIA DE JESUS"
"2267217","UNIDADE DE PRONTO ATENDIMENTO MARIO BARROS WAGNER"
"2267454","HOSPITAL MUNICIPAL AUGUSTINHO GESUALD BLANC"
"2267462","POSTO DE SAUDE JOAO FERNANDES CHEP PS FERNANDO BUSTAMANTE"
"2267713","HOSPITAL DE CANTAGALO"
"2267802","HOSPITAL GERAL DE ARRAIAL DO CABO"
"2267810","HOSPITAL SANTO ANTONIO"
"2268000","SERVICO DE PRONTO ATENDIMENTO DE MONNERAT"
"2268019","CENTRO DE SAUDE DE DUAS BARRAS"
"2268051","HOSPITAL MUNICIPAL DR JOAO PEREIRA MARTINS"
"2268329","HOSPITAL GERAL DR LUIZ PINTO"
"2268515","HOSPITAL BASILEU ESTRELA"
"2268868","CASA DE SAUDE SAO JUDAS TADEU"
"2268922","HOSPITAL MUNICIPAL DESEMBARGADOR LEAL JUNIOR"
"2269112","AMBULATORIO CENTRAL"
"2269384","HOSPITAL FEDERAL DO ANDARAI"
"2269503","SMS CMS EDUARDO A VILHENA AP 32"
"2269538","SMSDC CMS EDGARD MAGALHAES GOMES AP 52"
"2269783","UERJ HOSPITAL UNIV PEDRO ERNESTO"
"2269880","MS HOSPITAL GERAL DE BONSUCESSO"
"2269945","SMSDC MATERN ALEXANDER FLEMING"
"2269988","MS HSE HOSPITAL FEDERAL DOS SERVIDORES DO ESTADO"
"2270013","SMSDC CMS CECILIA DONNANGELO AP 40"
"2270021","MATERNIDADE ESCOLA DA UFRJ"
"2270056","SMSDC RIO HOSPITAL MUNICIPAL PAULINO WERNECK"
"2270234","SES RJ HOSPITAL ESTADUAL GETULIO VARGAS"
"2270269","SMSDC HOSPITAL MUNICIPAL MIGUEL COUTO"
"2270277","SMS CMS ALVIMAR DE CARVALHO AP 52"
"2270293","SMSDC CMS RAUL BARROSO AP 52"
"2270390","SMSDC RIO MATER HERCULANO PINHEIRO"
"2270420","SMSDC CMS WALDYR FRANCO AP 51"
"2270455","SMSDC CMS PADRE MIGUEL AP 51"
"2270471","SMSDC POLICLINICA RODOLPHO ROCCO AP 32"
"2270544","HOSPITAL SAO VICENTE DE PAULO"
"2270579","SMS CMS DR EITHEL PINHEIRO DE OLIVEIRA LIMA AP 51"
"2270595","CASA DE SAUDE SOUZA CRUZ"
"2270609","SMSDC RIO HOSPITAL MUN LOURENCO JORGE"
"2270676","HOSPITAL GERAL"
"2270684","PRO MATRE"
"2270692","CBMERJ HOSP ARISTARCHO PESSOA HOSP DO CORPO DE BOMBEIROS"
"2270714","SMSDC RIO HOSPITAL MATERNIDADE FERNANDO MAGALHAES"
"2270927","CLINICA SAO CAMILO"
"2271141","HOSPITAL MUNICIPAL DE PINHEIRAL AURELINO GONCALVES BARBOSA"
"2271281","HOSPITAL MEMORIAL"
"2271443","CASA DE SAUDE SAO JOSE"
"2271451","HOSPITAL BALBINO"
"2271826","HOSPITAL MATERNIDADE DE NOVA FRIBURGO"
"2272091","PRONTO SOCORRO DR RUBENS VASCONCELLOS LESSA"
"2272113","CASA DE SAUDE IMACULADA CONCEICAO LTDA"
"2272148","CENTRO MUNICIPAL DE SAUDE DE ITALVA DR ADILTON JORGE CRESPO"
"2272210","POSTO DE URGENCIA DE PORCIUNCULA"
"2272369","HOSPITAL DE PORCIUNCULA"
"2272601","HOSPITAL NOSSA SENHORA DO CARMO"
"2272695","HOSPITAL SAO LUCAS"
"2272784","HOSPITAL MUNICIPAL RAUL SERTA"
"2273071","CASA DE CARIDADE ARARUAMA"
"2273098","HOSPITAL SAO SILVESTRE"
"2273101","HOSPITAL SAO LUCAS"
"2273357","HOSPITAL ADVENTISTA SILVESTRE"
"2273373","SMSDC RIO MATERNIDADE OSWALDO NAZARETH"
"2273411","SES HOSPITAL CARLOS CHAGAS"
"2273438","SSP HOSPITAL CENTRAL DA POLICIA MILITAR HCPM"
"2273454","MS INCA HOSPITAL DO CANCER I"
"2273497","FUNDACAO BELA LOPES DE OLIVEIRA"
"2273551","SMS CMS ALOYSIO AMANCIO DA SILVA AP 53"
"2273640","SMS CMS MADRE TERESA DE CALCUTA AP 31"
"2273748","HOSPITAL UNIVERSITARIO SUL FLUMINENSE"
"2273756","HOSPITAL EUFRASIA TEIXEIRA LEITE"
"2274108","POLICLINICA MUNICIPAL AGUINALDO MORAES"
"2274124","POSTO DE URGENCIA DE SAMPAIO CORRIEA"
"2274175","POSTO DE URGENCIA DE JACONE"
"2274299","HOSPITAL MUNICIPAL NOSSA SENHORA DE NAZARETH"
"2274310","PRONTO SOCORRO MUNICIPAL DE SAPUCAIA"
"2274485","CASA DE SAUDE E MATERNIDADE SAO JOSE LTDA"
"2274493","ASSOCIACAO DE CARIDADE HOSPITAL SAO JOAO DE MERITI"
"2274884","POSTO MEDICO SANITARIO DE EDEN"
"2275155","SECRETARIA MUNICIPAL DE SAUDE"
"2275228","CASA DE SAUDE SANTA MONICA"
"2275244","CASA DE SAUDE PIO XII"
"2275287","PRONTO SOCORRO MUNICIPAL RIO DAS OSTRAS"
"2275554","PRONTO SOCORRO LEONIDAS SAMPAIO"
"2275562","HOSPITAL ALCIDES CARNEIRO"
"2275589","HOSPITAL MUNICIPAL DR NELSON DE SA EARP"
"2275635","HOSPITAL SANTA TERESA"
"2276011","CENTRO MEDICO DR JORGE CHIMELI"
"2276186","HOSPITAL NOSSA SENHORA DA PIEDADE"
"2276267","HOSPITAL NATIVIDADE"
"2276461","HOSPITAL SANTA MARIA"
"2276542","PRONTO SOCORRO MUNICIPAL"
"2277174","HOSPITAL NELSON SALLES"
"2277301","SMSDC CMS MANOEL ARTHUR VILLABOIM AP 10"
"2277565","HOSPITAL MUNICIPAL DUQUE DE CAXIAS"
"2277573","HOSPITAL MUNICIPAL DE XEREM"
"2277581","POSTO MEDICO SANITARIO DE XEREM"
"2277603","CENTRO MUNICIPAL DE SAUDE DE DUQUE DE CAXIAS"
"2277611","POSTO MEDICO SANITARIO DE IMBARIE"
"2277662","POSTO MEDICO SANITARIO DE CAMPOS ELISEOS"
"2277700","CRAIS SARACURUNA"
"2277719","POSTO MEDICO SANITARIO PARQUE EQUITATIVA"
"2277743","POSTO MEDICO SANITARIO DO PILAR"
"2278138","UNIDADE MISTA DO JARDIM ESPERANCA"
"2278170","CLINICA SANTA HELENA"
"2278278","HOSPITAL MUNICIPAL DE TAMOIOS"
"2278286","HOSPITAL SANTA IZABEL"
"2278324","HOSPITAL MUNICIPAL DE PIABETA"
"2278332","HOSPITAL MUNICIPAL DE MAGE"
"2278731","UNIDADE MISTA MAUA POSTO MARIO PINHEIRO"
"2278804","POLICLINICA SANTO ALEIXO LTDA"
"2278855","HOSPITAL SAO JOSE DO AVAI"
"2278871","CASA DE SAUDE E MATERNIDADE SANTA THEREZINHA LTDA"
"2278901","CLINICA SAO CAMILO DE LELIS LTDA"
"2279274","POSTO DE URGENCIA DR MUNIR BUSSAD"
"2279355","HOSPITAL MUNICIPAL DR ADALBERTO DA GRACA"
"2279398","CENTRO MUNICIPAL DE SAUDE COLETIVA DE PARACAMBI"
"2279509","HOSPITAL EVANGELICO DE PARACAMBI"
"2279525","CASA DE SAUDE PARACAMBI"
"2280051","SANTA CASA DE MISERICORDIA DE BARRA MANSA"
"2280167","HOSPITAL UNIVERSITARIO CLEMENTINO FRAGA FILHO"
"2280183","SMSDC RIO HOSPITAL MUNICIPAL SOUZA AGUIAR"
"2280205","SMS CMS RODOLPHO PERISSE VIDIGAL AP 21"
"2280248","SMSDC MATERN CARMELA DUTRA"
"2280280","SMSDC CMS NICOLA ALBANO AP 22"
"2280396","HOSPITAL MUNICIPAL ANGELA MARIA SIMOES MENEZES"
"2280477","HOSPITAL E MATERNIDADE DA ALDEIA"
"2280582","PRONTO SOCORRO MUNICIPAL DR JOSE SEVE NETO"
"2280779","SMS CMS NECKER PINTO AP 31"
"2280787","SMS CMS NILZA ROSA AP 22"
"2280795","SMS CMS JOAO BARROS BARRETO AP 21"
"2280825","SERVICO DE PRONTO ATENDIMENTO DO FRADE"
"2280841","POSTO DE SAUDE DA JAPUIBA"
"2280868","HOSPITAL E MATERNIDADE CODRATO DE VILHENA"
"2280884","CENTRO DE ESPECIALIDADE MEDICA"
"2281120","UNIDADE MISTA DO PEREQUE"
"2281139","POSTO DE SAUDE INDIGENA OENHAMEMO M HAGWA POAREI P S ALDEIA"
"2281147","SERVICO DE PRONTO ATENDIMENTO DO ABRAAO"
"2281171","ESCOLA MUNICIPAL SANTOS DUMONT"
"2281260","CLINICA SOJ"
"2281287","HOSPITAL DE CLINICAS DA COSTA VERDE"
"2281384","HOSPITAL DE PRAIA BRAVA"
"2281481","UNIDADE MISTA DE ENGENHEIRO PEDREIRA"
"2281554","POLICLINICA ITALIA FRANCO"
"2281589","CASA DE SAUDE E MATERNIDADE DR ONTIVEIROS LTDA"
"2281880","HOSPITAL DE IGUACU"
"2282097","PRONTONIL"
"2282402","CASA DE SAUDE BOM JESUS"
"2282801","HOSPITAL DR CELSO ERTHAL"
"2283239","HOSPITAL SANTO ANTONIO DA ESTIVA"
"2283328","HOSPITAL ARMANDO VIDAL"
"2283344","CASA DE SAUDE SAO LUCAS"
"2283395","HOSPITAL SAO JOSE OPERARIO"
"2283735","CENTRO DE SAUDE DEMERVAL GARCIA DE FREITAS"
"2283794","HOSPITAL MOACYR GOMES DE AZEVEDO"
"2283808","HOSPITAL ANTONIO CASTRO"
"2283832","HOSPITAL DAS CLINICAS DE JUSCELINO"
"2283956","CENTRO DE SAUDE"
"2284103","UNIDADE MISTA JOSE ANTONIO DA SILVA REGO VILA DE CAVA"
"2284510","UNIDADE MISTA DR MOACIR A DE CARVALHO AUSTIN"
"2284634","HOSPITAL MUNICIPAL SAO FRANCISCO XAVIER"
"2285126","CASA DE SAUDE DR EIRAS DE PARACAMBI"
"2285150","HOSPITAL DE SAO VICENTE"
"2285681","HOSPITAL FRANCISCO LIMONGI"
"2285894","CENTRO MEDICO DR MOACIR JUNQUEIRA"
"2285916","CASA DE SAUDE E MATERNIDADE SAO SEBASTIAO"
"2285932","HOSPITAL DE MIRACEMA"
"2285975","HOSPITAL DE AREAL"
"2286033","CLINICA DA FAMILIA FRANCA LEITE"
"2286289","SANTA CASA DE MISERICORDIA DE SAO JOAO DA BARRA"
"2286343","PRONTO SOCORRO DE IGUABA GRANDE"
"2286777","UNIDADE PRE HOSPITALAR DE FAROL DE SAO THOME"
"2286920","UNIDADE PRE HOSPITALAR DE SANTO EDUARDO"
"2287250","SOCIEDADE PORTUGUESA DE BENEFICENCIA DE CAMPOS"
"2287374","HOSPITAL SAO JOSE"
"2287382","SANTA CASA DE MISERICORDIA DE CAMPOS"
"2287579","HOSPITAL FERREIRA MACHADO"
"2287641","ESF DORANDIA DR OSWALDO MILWARD"
"2287919","CASA DE CARIDADE SANTA RITA"
"2287927","HOSPITAL E MATERNIDADE MARIA DE NAZARE"
"2288109","HOSPITAL MUNICIPAL VICTOR DE SOUZA BREVES"
"2288230","HOSP MUNICIPAL MATERNIDADE DR MANOEL MARTINS DE BARROS"
"2288893","HOSPITAL DE EMERGENCIA HENRIQUE SERGIO GREGORI"
"2288907","APMIR"
"2288915","MATER HOSPITAL MATERNO INFANTIL"
"2289296","HOSPITAL E MATERNIDADE MENINO JESUS DE PRAGA"
"2289571","HOSPITAL MUNICIPAL JORGE JULIO COSTA SANTOS"
"2289709","HOSPITAL DE CLINICAS BELFORD ROXO"
"2289954","UMS JOSE SALGUEIRO"
"2290073","HOSPITAL MUNICIPAL ANA MOREIRA"
"2290227","SES RJ HOSPITAL ESTADUAL ADAO PEREIRA NUNES"
"2290456","HOSPITAL DE ITAOCARA"
"2290499","HOSPITAL MUNICIPAL DE LAJE DO MURIAE"
"2291096","UNIDADE MEDICO HOSPITALAR PADRE ALFREDO OELKERS"
"2291266","SMSDC RIO HOSP MUN FRANCISCO DA S TELLES"
"2291320","HOSPITAL MUNICIPAL MANOEL CAROLA"
"2292084","PRONTO SOCORRO MARIO NIAJAR ALCANTARA"
"2292157","CLISSIL CLINICA SAO SILVESTRE LTDA"
"2292165","CASA DE SAUDE NOSSA SENHORA DAS NEVES"
"2292211","CASA DE SAUDE VILA PARAISO LTDA"
"2292270","FUNDACAO HOSPITAL MATERNIDADE SANTA THERESINHA"
"2292386","HOSPITAL SAO JOSE"
"2292513","BENEFICENCIA PORTUGUESA DE TERESOPOLIS"
"2292637","MATERNIDADE WALTER GOMES FRANCKLIN"
"2292912","HOSPITAL ESCOLA LUIZ GIOSEFFI JANNUZZI"
"2293137","NUCLEO DE SAUDE DO CIEP DO KM 40"
"2293374","HOSPITAL NOVACOR"
"2293633","CASA PROVIDENCIA HOSPITAL ALZIRA VARGAS DO AMARAL PEIXOTO"
"2293714","UNIDADE MISTA DE SAUDE SAO FRANCISCO DE ITABAPOANA"
"2293862","HOSPITAL MUNICIPAL JUSCELINO KUBITSCHEK"
"2294036","INTERVIR ASSISTENCIA MEDICA"
"2294923","HOSPITAL DE CLINICAS NOSSA SENHORA DA CONCEICAO"
"2294990","HOSPITAL MUNICIPAL CARLITO GONCALVES"
"2295016","CASA DE SAUDE JOAO XXIII LTDA"
"2295075","HOSPITAL GUSTAVO MONTEIRO JUNIOR"
"2295105","HOSPITAL SANTA ISABEL"
"2295113","HOSPITAL JOSE FONSECA"
"2295253","SMS CF WALDEMAR BERARDINELLI AP 53"
"2295369","ACAO CRISTA VICENTE MORETTI"
"2295407","SES HOSPITAL ESTADUAL ROCHA FARIA"
"2295415","HOSPITAL UNIVERSITARIO GAFFREE E GUINLE"
"2295423","MS HOSPITAL FEDERAL CARDOSO FONTES"
"2295652","PAM UBAS"
"2296055","UNIDADE MISTA DE MATO ESCURO"
"2296136","PSF VALE DAS PEDRINHAS"
"2296152","HOSPITAL MUNICIPAL DE GUAPIMIRIM"
"2296241","HOSPITAL REGIONAL DARCY VARGAS"
"2296276","HOSPITAL NOSSA SENHORA DA PIEDADE"
"2296306","SMSDC HOSPITAL MUN SALGADO FILHO"
"2296543","SMS CMS JORGE SALDANHA BANDEIRA DE MELLO AP40"
"2296551","SMSDC CMS AMERICO VELOSO AP 31"
"2296578","CBMERJ CENTRO MEDICO SAO JOAO DE DEUS"
"2296608","HCJ HOSPITAL DE CLINICAS DE JACAREPAGUA"
"2296624","SMS RIO MATERNIDADE LEILA DINIZ"
"2296632","HOSPITAL SAO LUCAS"
"2296667","UNIDADE DE SAUDE DA FAMILIA DO PARATIMIRIM"
"2296705","UNIDADE MISTA LOTE XV"
"2296764","CASA DE SAUDE E MATERNIDADE NOSSA SENHORA DA GLORIA"
"2296977","CASA DE SAUDE SANTA MARIA SA"
"2297108","POSTO DE PRONTO ATENDIMENTO 24H"
"2297132","HOSPITAL INFANTIL 21 DE JULHO LTDA"
"2297183","CASA DE SAUDE NOVA BOM PASTOR LTDA"
"2297248","UNIDADE PSF SANTA LUZIA 359 436"
"2297337","CLINICA FORUM SAO GONCALO"
"2297434","HOSPITAL SAO JOSE DOS LIRIOS"
"2297442","CASA DE SAUDE SANTA LUCIA LTDA"
